Designator,Mid X,Mid Y,Rotation,Layer
D76,477.901,-94.742,270.0,bottom
D77,477.901,-114.681,270.0,bottom
D78,497.332,-47.625,90.0,bottom
D79,496.09375,-54.76875,270.0,bottom
D8,129.032,-80.645,90.0,bottom
D80,495.427,-75.946,270.0,bottom
D81,495.935,-94.615,270.0,bottom
D82,496.316,-114.681,270.0,bottom
D83,500.507,-47.625,90.0,bottom
D84,501.524,-53.213,0.0,bottom
D85,498.094,-75.946,270.0,bottom
D86,501.777,-92.456,0.0,bottom
D87,498.856,-114.681,270.0,bottom
D88,458.724,-55.626,270.0,bottom
D89,458.7875,-75.40625,270.0,bottom
D9,128.651,-94.869,270.0,bottom
D90,460.375,-94.742,270.0,bottom
D91,440.563,-114.681,270.0,bottom
D92,165.1,-84.93125,180.0,bottom
D93,450.85,-46.83125,180.0,bottom
D94,469.9,-46.83125,180.0,bottom
F2,297.942,-67.31,0.0,bottom
H1,417.49967,-30.320001,0.0,top
H10,355.57967,-131.580001,0.0,top
H11,123.81967,-30.315379,0.0,top
H12,160.32967,-30.325379,0.0,top
H13,328.504972,-30.315379,0.0,top
H14,504.80967,-30.330001,0.0,top
H2,461.14967,-131.575379,0.0,top
H3,130.94967,-131.570001,0.0,top
H4,158.73967,-131.585379,0.0,top
H5,231.76967,-131.570001,0.0,top
H6,239.784972,-30.325379,0.0,top
H7,461.16967,-30.340001,0.0,top
H8,495.284972,-131.565379,0.0,top
H9,404.804972,-131.565379,0.0,top
J2,110.363,-64.897,180.0,bottom
J3,311.277,-68.58,0.0,bottom
R1,128.651,-68.792411,315.0,bottom
R2,155.702,-82.677,135.0,bottom
R3,446.786,-46.861,90.0,bottom
R4,159.512,-68.707,180.0,bottom
R5,159.512,-67.691,180.0,bottom
R6,112.522,-69.088,270.0,bottom
R7,148.717,-86.868,180.0,bottom
R8,465.963,-46.734,90.0,bottom
SW1,150.876,-90.932,0.0,bottom
SW10,136.525,-100.0125,0.0,top
SW11,136.525,-119.0625,0.0,top
SW12,160.3375,-42.8625,0.0,top
SW13,165.1,-61.9125,0.0,top
SW14,167.48125,-80.9625,0.0,top
SW15,172.24375,-100.0125,0.0,top
SW16,165.1,-119.0625,0.0,top
SW17,179.3875,-42.8625,0.0,top
SW18,188.9125,-61.9125,0.0,top
SW19,193.675,-80.9625,0.0,top
SW2,117.475,-42.8625,0.0,top
SW20,184.15,-100.0125,0.0,top
SW21,212.725,-119.0625,0.0,top
SW22,198.4375,-42.8625,0.0,top
SW23,207.9625,-61.9125,0.0,top
SW24,212.725,-80.9625,0.0,top
SW25,203.2,-100.0125,0.0,top
SW26,217.4875,-42.8625,0.0,top
SW27,227.0125,-61.9125,0.0,top
SW28,231.775,-80.9625,0.0,top
SW29,222.25,-100.0125,0.0,top
SW3,117.475,-61.9125,0.0,top
SW30,236.5375,-42.8625,0.0,top
SW31,246.0625,-61.9125,0.0,top
SW32,250.825,-80.9625,0.0,top
SW33,241.3,-100.0125,0.0,top
SW34,255.5875,-42.8625,0.0,top
SW35,265.1125,-61.9125,0.0,top
SW36,269.875,-80.9625,0.0,top
SW37,260.35,-100.0125,0.0,top
SW38,293.6875,-119.045597,0.0,top
SW39,274.6375,-42.8625,0.0,top
SW4,117.475,-80.9625,0.0,top
SW40,284.1625,-61.9125,0.0,top
SW41,288.925,-80.9625,0.0,top
SW42,279.4,-100.0125,0.0,top
SW43,293.6875,-42.8625,0.0,top
SW44,303.2125,-61.9125,0.0,top
SW45,307.975,-80.9625,0.0,top
SW46,298.45,-100.0125,0.0,top
SW47,312.7375,-42.8625,0.0,top
SW48,322.2625,-61.9125,0.0,top
SW49,327.025,-80.9625,0.0,top
SW5,117.475,-100.0125,0.0,top
SW50,317.5,-100.0125,0.0,top
SW51,331.7875,-42.8625,0.0,top
SW52,341.3125,-61.9125,0.0,top
SW53,346.075,-80.9625,0.0,top
SW54,336.55,-100.0125,0.0,top
SW55,350.8375,-42.8625,0.0,top
SW56,360.3625,-61.9125,0.0,top
SW57,365.125,-80.9625,0.0,top
SW58,355.6,-100.0125,0.0,top
SW59,369.8875,-42.8625,0.0,top
SW6,117.475,-119.0625,0.0,top
SW60,379.4125,-61.9125,0.0,top
SW61,384.175,-80.9625,0.0,top
SW62,374.65,-100.0125,0.0,top
SW63,374.65,-119.0625,0.0,top
SW64,388.9375,-42.8625,0.0,top
SW65,398.4625,-61.9125,0.0,top
SW66,417.5125,-42.8625,0.0,top
SW67,450.85,-42.8625,0.0,top
SW68,410.36875,-100.0125,0.0,top
SW69,407.9875,-42.8625,0.0,top
SW7,136.525,-42.8625,0.0,top
SW70,422.275,-61.9125,0.0,top
SW71,415.0995,-80.9625,0.0,top
SW72,426.974,-100.0125,0.0,top
SW73,422.275,-119.0625,0.0,top
SW74,469.9,-42.8625,0.0,top
SW75,469.9,-61.9125,0.0,top
SW76,469.9,-80.9625,0.0,top
SW77,469.9,-100.0125,0.0,top
SW78,508.0,-119.0625,90.0,top
SW79,488.95,-42.8625,0.0,top
SW8,136.525,-61.9125,0.0,top
SW80,488.95,-61.9125,0.0,top
SW81,488.95,-80.9625,0.0,top
SW82,488.95,-100.0125,0.0,top
SW83,469.9,-119.0625,0.0,top
SW84,508.0,-42.8625,0.0,top
SW85,508.0,-71.4375,90.0,top
SW86,508.0,-80.9625,90.0,top
SW87,508.0,-109.5375,90.0,top
SW88,488.95,-119.0625,0.0,top
SW89,162.71875,-80.9625,0.0,top
SW9,136.525,-80.9625,0.0,top
SW90,162.71875,-100.0125,0.0,top
SW91,450.85,-61.9125,0.0,top
SW92,400.84375,-100.0125,0.0,top
SW93,450.85,-80.9625,0.0,top
SW94,508.0,-61.9125,90.0,top
SW95,508.0,-100.0125,90.0,top
SW96,450.85,-100.0125,0.0,top
SW97,460.375,-119.0625,0.0,top
SW98,450.85,-119.0625,0.0,top
SW99,427.0375,-42.8625,0.0,top
U1,290.9085,-67.31,0.0,bottom
U2,153.477051,-75.94228,45.0,bottom
U3,298.45,-71.247,90.0,bottom
U4,144.272,-69.37375,90.0,bottom
Y1,126.137749,-69.638411,315.0,bottom
